id,text,topic
1,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
2,being: The fundamental nature of existence; what it means to be.,philosophy
3,phenomenology: The study of structures of experience and consciousness.,philosophy
4,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
5,truth: Correspondence between belief or statement and reality.,philosophy
6,virtue: Excellence of character; habitual good action.,philosophy
7,nihilism: The view that life lacks inherent meaning or value.,philosophy
8,essence: The intrinsic nature or indispensable quality of something.,philosophy
9,worldhood: The structured totality of relations that make up a world.,philosophy
10,being: The fundamental nature of existence; what it means to be.,philosophy
11,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
12,authenticity: Living in accordance with one's own values and nature.,philosophy
13,being: The fundamental nature of existence; what it means to be.,philosophy
14,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
15,virtue: Excellence of character; habitual good action.,philosophy
16,freedom: The capacity for self-determination and choice.,philosophy
17,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
18,responsibility: The state of being accountable for one's actions and choices.,philosophy
19,"meaning: Significance, purpose, or interpretation of something.",philosophy
20,being: The fundamental nature of existence; what it means to be.,philosophy
21,"meaning: Significance, purpose, or interpretation of something.",philosophy
22,wisdom: Deep understanding and good judgment about important matters.,philosophy
23,"intersubjectivity: Shared, overlapping subjective experience between persons.",philosophy
24,existence: The fact or state of being; concrete reality.,philosophy
25,relativism: The view that truth or value depends on perspective or culture.,philosophy
26,metacognition: Awareness and regulation of one's own thinking processes.,cognition
27,"memory: The faculty of encoding, storing, and retrieving information.",cognition
28,"memory: The faculty of encoding, storing, and retrieving information.",cognition
29,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
30,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
31,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
32,priming: Implicit memory effect where exposure influences subsequent response.,cognition
33,working memory: Short-term memory system for active manipulation of information.,cognition
34,abstraction: Distilling essential features while removing concrete details.,cognition
35,affordance: Action possibilities offered by objects or environment to an agent.,cognition
36,episodic memory: Memory of personally experienced events in their temporal context.,cognition
37,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
38,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
39,cognitive load: Mental effort required to process information.,cognition
40,episodic memory: Memory of personally experienced events in their temporal context.,cognition
41,priming: Implicit memory effect where exposure influences subsequent response.,cognition
42,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
43,reasoning: The process of drawing conclusions from premises or evidence.,cognition
44,intuition: Immediate understanding without conscious reasoning.,cognition
45,"memory: The faculty of encoding, storing, and retrieving information.",cognition
46,attention mechanism: Weighting scheme to focus on relevant parts of input.,ai_ml
47,manifold: Lower-dimensional surface embedded in higher-dimensional space.,ai_ml
48,transformer: Architecture using self-attention for sequence modeling.,ai_ml
49,transfer learning: Applying knowledge from one task to related tasks.,ai_ml
